"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0606602126474121;0,0576304267040179;0,0637583232048963;"2019";5;"plants-floral visitors";"mean_field"
"2";"CETE";0,0617423530154422;0,0571261223704741;0,0674036864721162;"2019";5;"plants-floral visitors";"mean_field"
"3";"CHFU";0,0355136697755302;0,0332522103573861;0,0379779740032734;"2019";5;"plants-floral visitors";"mean_field"
"4";"HOMA";0,0566043431528209;0,0539888561636338;0,0594131521027605;"2019";5;"plants-floral visitors";"mean_field"
"5";"LEMA";0,0394768536521207;0,0365924247593972;0,0425926094000405;"2019";5;"plants-floral visitors";"mean_field"
"6";"MESP";0,0563742663034357;0,0539660640709862;0,0589725869819109;"2019";5;"plants-floral visitors";"mean_field"
"7";"PAIN";0,0582592440483016;0,0555592405582908;0,0611801434800629;"2019";5;"plants-floral visitors";"mean_field"
"8";"POMA";0,0613080862707448;0,0577635755136547;0,0652641393301272;"2019";5;"plants-floral visitors";"mean_field"
"9";"PUPA";0,0613685097658009;0,0583414884327336;0,0644573419228832;"2019";5;"plants-floral visitors";"mean_field"
"10";"RAPE";0,0605550285165639;0,0577888929498093;0,0637290751668797;"2019";5;"plants-floral visitors";"mean_field"
"11";"SASO";0,0579845134076973;0,055555508204917;0,0607420992061132;"2019";5;"plants-floral visitors";"mean_field"
"12";"SOAS";0,0588875720346337;0,0563395432462186;0,0619978427318408;"2019";5;"plants-floral visitors";"mean_field"
"13";"Dilophus_spp";0,056018253373516;0,0534629978588911;0,058420189873843;"2019";5;"plants-floral visitors";"mean_field"
"14";"Episyrphus_balteatus";0,0356464826396806;0,0334493116426668;0,0380353886564889;"2019";5;"plants-floral visitors";"mean_field"
"15";"Eupeodes_corollae";0,0628515145487737;0,056756184925479;0,0718950712650968;"2019";5;"plants-floral visitors";"mean_field"
"16";"Musca_spp";0,0470998278823833;0,0442008528104672;0,0502176397788248;"2019";5;"plants-floral visitors";"mean_field"
"17";"Nemotelus_spp";0,0324070620472416;0,0300056419151291;0,0355093620116316;"2019";5;"plants-floral visitors";"mean_field"
"18";"Scaeva_spp";0,0403449783826943;0,0381771061293553;0,0427500811379744;"2019";5;"plants-floral visitors";"mean_field"
"19";"Sphaerophoria_scripta";0,0568972285352064;0,054018434051284;0,0596906884513227;"2019";5;"plants-floral visitors";"mean_field"
