"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"Aelia_spp";0,0516476970762534;0,0269315874220089;0,0846266925629791;"2020";1;"herbivores";"mean_field"
"2";"Agriotes_spp";0,0119104778187598;0,00738363966482883;0,0184296297787507;"2020";1;"herbivores";"mean_field"
"3";"Aiolopus_strepens";0,104011989916024;0,0449073032200567;0,177430314983595;"2020";1;"herbivores";"mean_field"
"4";"Brassicogethes_spp";0,012929765402846;0,00655110711656102;0,0224575452063727;"2020";1;"herbivores";"mean_field"
"5";"Cicadidae";0,0291688175353879;0,0156886931806092;0,0463596889300977;"2020";1;"herbivores";"mean_field"
"6";"Cochlicella_barbara";0,134276519734643;0,0283763410538619;0,254721758647858;"2020";1;"herbivores";"mean_field"
"7";"Conocephalus_dorsalis";0,0534687333517756;0,00843333313344743;0,118339755946629;"2020";1;"herbivores";"mean_field"
"8";"Cryptocephalus_spp";0,108919784257748;0,0393248304242693;0,200287629116224;"2020";1;"herbivores";"mean_field"
"9";"Lasiocampa_trifolii_caterpillar";0,0640104289037192;0,0224208135897843;0,120874565502253;"2020";1;"herbivores";"mean_field"
"10";"Malachius_bipustulatus";0,120745111708691;0,023070544060908;0,283043547204096;"2020";1;"herbivores";"mean_field"
"11";"Miridae";0,052559411505075;0,0185536709461113;0,0942115543928636;"2020";1;"herbivores";"mean_field"
"12";"Mordellidae";0,067053139998834;0,0241138981024825;0,135323683910324;"2020";1;"herbivores";"mean_field"
"13";"Oedemeridae";0,028769279704408;0,0111762735393918;0,0543686116353959;"2020";1;"herbivores";"mean_field"
"14";"Phaedon_spp";0,0262791395954955;0,0133873809352811;0,043360811161885;"2020";1;"herbivores";"mean_field"
"15";"Psilothrix_viridicoerulea";0,0572839305798718;0,0227655900632293;0,0993300450957649;"2020";1;"herbivores";"mean_field"
"16";"Tessellana_tessellata";0,024704565975185;0,0133095162189594;0,0390897624548351;"2020";1;"herbivores";"mean_field"
"17";"Theba_pisana";0,0393346139392713;0,0186030606573025;0,0665388812748925;"2020";1;"herbivores";"mean_field"
"18";"Thysanoptera";0,0129265929960116;0,00640308542014601;0,0221742953069162;"2020";1;"herbivores";"mean_field"
