"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"Anastoechus_spp";0,079988614051192;0,0649475495398322;0,0995914382636335;"2020";3;"floral visitors";"mean_field"
"2";"Andrena_spp";0,0602499831957397;0,0525594536409602;0,068247945502523;"2020";3;"floral visitors";"mean_field"
"3";"Bombylius_major";0,0772546059121896;0,0611078120625446;0,0962108690155608;"2020";3;"floral visitors";"mean_field"
"4";"Calliphoridae";0,069395143018517;0,0585122289209071;0,0818969107664656;"2020";3;"floral visitors";"mean_field"
"5";"Dilophus_spp";0,0666043175410001;0,0570809196673898;0,0765165397581471;"2020";3;"floral visitors";"mean_field"
"6";"Geometridae";0,0720344258971933;0,0535326275235331;0,0957810616666262;"2020";3;"floral visitors";"mean_field"
"7";"Lasioglossum_malachurum";0,0702646426565302;0,0569357532623673;0,0859816843155106;"2020";3;"floral visitors";"mean_field"
"8";"Musca_spp";0,0731272540823399;0,0614364105998707;0,0862918889236793;"2020";3;"floral visitors";"mean_field"
"9";"Nemotelus_spp";0,078933308304634;0,0638712405929425;0,0962305597744093;"2020";3;"floral visitors";"mean_field"
"10";"Pangonius_spp";0,0681552442326323;0,0589593161950588;0,0783837721663459;"2020";3;"floral visitors";"mean_field"
"11";"Pieris_brassicae";0,0631179421031322;0,0532854128840627;0,0736583774983793;"2020";3;"floral visitors";"mean_field"
"12";"Sarcophaga_spp";0,0614827719378889;0,050696116419074;0,0759900890524039;"2020";3;"floral visitors";"mean_field"
"13";"Sphaerophoria_scripta";0,0708992982359029;0,0568996072605867;0,0883363285907422;"2020";3;"floral visitors";"mean_field"
"14";"Ulidiidae";0,0884924488311077;0,0660980561583951;0,118314753453357;"2020";3;"floral visitors";"mean_field"
