"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0860901209335944;0,0811726635540232;0,0911291746693971;"2020";5;"plants";"mean_field"
"2";"CETE";0,0848487513703859;0,0804851020440693;0,0894113074480699;"2020";5;"plants";"mean_field"
"3";"CHFU";0,0793711269781325;0,0754526512950345;0,0836083319664021;"2020";5;"plants";"mean_field"
"4";"HOMA";0,0856730179875978;0,0816038846826586;0,0901611082908158;"2020";5;"plants";"mean_field"
"5";"LEMA";0,0838802851140267;0,0799422990247561;0,0878111145818777;"2020";5;"plants";"mean_field"
"6";"MESP";0,0830543359087894;0,0790257019787606;0,0870688604472186;"2020";5;"plants";"mean_field"
"7";"PAIN";0,0842093022583398;0,0801112513911109;0,0881106208326601;"2020";5;"plants";"mean_field"
"8";"POMA";0,082742076799586;0,078866194037718;0,0867945593688686;"2020";5;"plants";"mean_field"
"9";"PUPA";0,0857940990802217;0,0811806057783455;0,0905570403038151;"2020";5;"plants";"mean_field"
"10";"RAPE";0,081255346635179;0,0775117077867109;0,0853627562402508;"2020";5;"plants";"mean_field"
"11";"SASO";0,0817016890427836;0,0780917420737329;0,0854333197348453;"2020";5;"plants";"mean_field"
"12";"SOAS";0,0813798478913632;0,0774087351241571;0,0854657924539369;"2020";5;"plants";"mean_field"
