"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0146866479243307;0,0138283282112402;0,0157489426081778;"2019";4;"plants-herbivores";"nesting_larvae"
"2";"CETE";0,0131446273081479;0,0124472943547235;0,0138685394840738;"2019";4;"plants-herbivores";"nesting_larvae"
"3";"CHFU";0,017552639827645;0,0167485562781801;0,0183797523379837;"2019";4;"plants-herbivores";"nesting_larvae"
"4";"HOMA";0,0313601492165329;0,0299105848220387;0,0330747149165242;"2019";4;"plants-herbivores";"nesting_larvae"
"5";"LEMA";0,0134924727359419;0,0127188587306024;0,014270747131009;"2019";4;"plants-herbivores";"nesting_larvae"
"6";"MESP";0,0139812614943988;0,0131253629172841;0,0149950583158299;"2019";4;"plants-herbivores";"nesting_larvae"
"7";"PAIN";0,015439910724592;0,0146853208764345;0,0162810867306723;"2019";4;"plants-herbivores";"nesting_larvae"
"8";"PLCO";0,0145817118721314;0,0135530246917949;0,0158590484563808;"2019";4;"plants-herbivores";"nesting_larvae"
"9";"POMA";0,018854294810936;0,0173385927977744;0,0208078224855462;"2019";4;"plants-herbivores";"nesting_larvae"
"10";"SASO";0,0130497451166812;0,012386339431149;0,0137879294956504;"2019";4;"plants-herbivores";"nesting_larvae"
"11";"Aelia_spp";0,0395889093389314;0,0379220288053418;0,0412492154056168;"2019";4;"plants-herbivores";"nesting_larvae"
"12";"Brassicogethes_spp";0,0337049365618108;0,0321117730682814;0,0353238986763754;"2019";4;"plants-herbivores";"nesting_larvae"
"13";"Cantharis_coronata";0,0181053025592119;0,0169259788466266;0,0194170081754991;"2019";4;"plants-herbivores";"nesting_larvae"
"14";"Cochlicella_barbara";0,151271542008702;0,147245477180465;0,155419993846113;"2019";4;"plants-herbivores";"nesting_larvae"
"15";"Conocephalus_dorsalis";0,0460145473724423;0,0436009094143611;0,0487375757596249;"2019";4;"plants-herbivores";"nesting_larvae"
"16";"Gryllus_bimaculatus";0,0240169827759021;0,0227956344307393;0,0253316520141731;"2019";4;"plants-herbivores";"nesting_larvae"
"17";"Lasiocampa_trifolii_caterpillar";0,0308634538839257;0,0293373041008724;0,0325480144272197;"2019";4;"plants-herbivores";"nesting_larvae"
"18";"Malachius_bipustulatus";0,0504068492307896;0,0483902528292261;0,0526175517338187;"2019";4;"plants-herbivores";"nesting_larvae"
"19";"Meligethes_spp";0,0439091720062516;0,0422451249356303;0,0457212237879539;"2019";4;"plants-herbivores";"nesting_larvae"
"20";"Mirini_spp";0,0334738105218855;0,0318503782367183;0,0350485140506476;"2019";4;"plants-herbivores";"nesting_larvae"
"21";"Mordellidae";0,031760540764601;0,0301572260701865;0,0333242560428542;"2019";4;"plants-herbivores";"nesting_larvae"
"22";"Oedemeridae";0,0321710860838196;0,0304374541671806;0,0337423035036955;"2019";4;"plants-herbivores";"nesting_larvae"
"23";"Psilothrix_viridicoerulea";0,0438102987875188;0,0417425048330055;0,0460614703979726;"2019";4;"plants-herbivores";"nesting_larvae"
"24";"Tessellana_tessellata";0,153843719416312;0,150403513054154;0,157534138263152;"2019";4;"plants-herbivores";"nesting_larvae"
"25";"Theba_pisana";0,100915387656557;0,0979367312452976;0,104025682399957;"2019";4;"plants-herbivores";"nesting_larvae"
