"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0618871724125732;0,0618341193980517;0,0619381036572355;"2019";4;"plants";"nesting_larvae"
"2";"CETE";0,0600966656205135;0,0600512154623285;0,0601442748276167;"2019";4;"plants";"nesting_larvae"
"3";"CHFU";0,0608448738100373;0,0607944835556973;0,0608990221473997;"2019";4;"plants";"nesting_larvae"
"4";"HOMA";0,433904085390704;0,433837008986619;0,433975202784624;"2019";4;"plants";"nesting_larvae"
"5";"LEMA";0,0685333936526901;0,0684781123443389;0,0685885928286906;"2019";4;"plants";"nesting_larvae"
"6";"MESP";0,0615717606951896;0,0615275446823635;0,061618197972665;"2019";4;"plants";"nesting_larvae"
"7";"PAIN";0,0619901092740785;0,0619450676717422;0,0620359307737069;"2019";4;"plants";"nesting_larvae"
"8";"PLCO";0,0617781365110907;0,0617274393935032;0,0618273860729412;"2019";4;"plants";"nesting_larvae"
"9";"POMA";0,0693513594125496;0,069299354960023;0,069402719031343;"2019";4;"plants";"nesting_larvae"
"10";"SASO";0,060042443220574;0,0600083467365018;0,0600794161853321;"2019";4;"plants";"nesting_larvae"
