"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,00986066141708725;0,00557592273591565;0,0155071335330392;"2020";2;"all";"nesting_larvae"
"2";"CETE";0,218734868335416;0,178515199995482;0,264664366735235;"2020";2;"all";"nesting_larvae"
"3";"CHFU";0,000134707460717279;8,87009816571544e-05;0,000190586586018917;"2020";2;"all";"nesting_larvae"
"4";"CHMI";0,00681850426273044;0,00375439500956126;0,0106760353002081;"2020";2;"all";"nesting_larvae"
"5";"HOMA";0,0110518902321962;0,00375822107745686;0,0226789141829789;"2020";2;"all";"nesting_larvae"
"6";"LEMA";0,0010930761025015;0,000612802666125743;0,00176059913977693;"2020";2;"all";"nesting_larvae"
"7";"MESP";0,00284985738909184;0,00195234601505984;0,00408451756501051;"2020";2;"all";"nesting_larvae"
"8";"PAIN";0,00157443792620677;0,00113090875822108;0,00215043749822387;"2020";2;"all";"nesting_larvae"
"9";"PLCO";0,0572947774230884;0,0273605235855368;0,107160464819634;"2020";2;"all";"nesting_larvae"
"10";"POMA";0,00134236235750069;0,00100356784810438;0,00174725047623867;"2020";2;"all";"nesting_larvae"
"11";"PUPA";0,09486685027201;0,0594602970880248;0,142418776354833;"2020";2;"all";"nesting_larvae"
"12";"SASO";0,00503495058278474;0,00344346943023951;0,00718827185632009;"2020";2;"all";"nesting_larvae"
"13";"SCLA";0,00326074977608562;0,00254964174484614;0,00410643178325609;"2020";2;"all";"nesting_larvae"
"14";"SOAS";0,0880241299902248;0,0650997467090053;0,115174664001544;"2020";2;"all";"nesting_larvae"
"15";"Agriotes_spp";0,00220608877476714;0,00117940490554312;0,00368391172995888;"2020";2;"all";"nesting_larvae"
"16";"Aphis_fabae";0,00153320769439592;0,000789227132030002;0,0026333406698704;"2020";2;"all";"nesting_larvae"
"17";"Brassicogethes_spp";0,023471244219794;0,0136046104124147;0,0373698560819813;"2020";2;"all";"nesting_larvae"
