"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"Aiolopus_strepens";0,0553752401129298;0,0543969070955046;0,0564008643359629;"2020";8;"herbivores";"nesting_larvae"
"2";"Brassicogethes_spp";0,0508104796193904;0,0498878320335418;0,0517418483104434;"2020";8;"herbivores";"nesting_larvae"
"3";"Cassida_spp";0,0806525189889732;0,0794478811134749;0,0819450953526765;"2020";8;"herbivores";"nesting_larvae"
"4";"Cochlicella_barbara";0,0296650167651289;0,0290777716190199;0,0302668151955273;"2020";8;"herbivores";"nesting_larvae"
"5";"Conocephalus_dorsalis";0,051824020229583;0,0508984400650968;0,052829317607429;"2020";8;"herbivores";"nesting_larvae"
"6";"Cryptocephalus_spp";0,0559423328995791;0,0549121453162967;0,0570665883131553;"2020";8;"herbivores";"nesting_larvae"
"7";"Gryllus_bimaculatus";0,0333573643217012;0,0326095376918179;0,0341560227689026;"2020";8;"herbivores";"nesting_larvae"
"8";"Lasiocampa_trifolii_caterpillar";0,0796579798564628;0,0785888379896088;0,0808650012835634;"2020";8;"herbivores";"nesting_larvae"
"9";"Malachius_bipustulatus";0,0557790973044959;0,0548193907076318;0,0568307130819313;"2020";8;"herbivores";"nesting_larvae"
"10";"Miridae";0,0550740074150124;0,0541938796029123;0,0560871241165535;"2020";8;"herbivores";"nesting_larvae"
"11";"Oedemeridae";0,0503205179618718;0,0494697396670858;0,0512324300594944;"2020";8;"herbivores";"nesting_larvae"
"12";"Oxycarenus_hyalinipennis";0,0515403079218293;0,0504984068044225;0,0525678135810215;"2020";8;"herbivores";"nesting_larvae"
"13";"Psilothrix_viridicoerulea";0,0535431999859506;0,0526299923295154;0,0544225158426366;"2020";8;"herbivores";"nesting_larvae"
"14";"Scyphophorus_spp";0,0803021904285142;0,0790980288615886;0,0815822281531633;"2020";8;"herbivores";"nesting_larvae"
"15";"Tessellana_tessellata";0,0811206812741375;0,0799088625094135;0,0824262116900671;"2020";8;"herbivores";"nesting_larvae"
"16";"Theba_pisana";0,0542342983827237;0,0533057259416258;0,0551982519769467;"2020";8;"herbivores";"nesting_larvae"
"17";"Thysanoptera";0,0808007465317161;0,0795942530436482;0,0819744107692112;"2020";8;"herbivores";"nesting_larvae"
