"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"Andrena_cinerea";0,0807757325360704;0,0807618370637521;0,0807903454172547;"2019";1;"floral visitors";"nesting_larvae_phenology"
"2";"Colias_croceus";0,087918923527067;0,0879045137406912;0,087933511302014;"2019";1;"floral visitors";"nesting_larvae_phenology"
"3";"Dilophus_spp";0,0988316293195189;0,0988162284778031;0,0988475299882093;"2019";1;"floral visitors";"nesting_larvae_phenology"
"4";"Empis_tesellata";0,0874145131156079;0,0873985276283947;0,0874290300635553;"2019";1;"floral visitors";"nesting_larvae_phenology"
"5";"Eupeodes_corollae";0,129133368429456;0,129117597726791;0,129149280910965;"2019";1;"floral visitors";"nesting_larvae_phenology"
"6";"Melanopangonius_spp";0,0959833386999763;0,0959689295919764;0,0959976137511362;"2019";1;"floral visitors";"nesting_larvae_phenology"
"7";"Musca_spp";0,0832724430084816;0,0832573864312947;0,0832867610793895;"2019";1;"floral visitors";"nesting_larvae_phenology"
"8";"Odontomyia_spp";0,0804418169818476;0,0804280492068832;0,0804561389385666;"2019";1;"floral visitors";"nesting_larvae_phenology"
"9";"Scaeva_spp";0,124299775637355;0,12428572794275;0,12431319946352;"2019";1;"floral visitors";"nesting_larvae_phenology"
"10";"Sphaerophoria_scripta";0,131928458744619;0,131916430378445;0,131940602633931;"2019";1;"floral visitors";"nesting_larvae_phenology"
