"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0259858759419196;0,0257621886230152;0,0261969846280397;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"2";"CETE";0,0322260695139357;0,0319844502886951;0,0324688784003087;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"3";"CHFU";0,0184156599389188;0,018267847228158;0,0185761788677435;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"4";"CHMI";0,0229457152986891;0,0227613758142078;0,0231334461216234;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"5";"HOMA";0,0925120700314748;0,0920804958809581;0,092947460526513;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"6";"LEMA";0,03409382757133;0,033851573092512;0,0343414846196155;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"7";"MESP";0,0246284981488958;0,0244350564666924;0,024816464343615;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"8";"PAIN";0,0639550596671059;0,0636088503707211;0,0642994132826347;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"9";"PLCO";0,0256459420949422;0,0254472668945097;0,025845873491472;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"10";"POMA";0,0361495612908675;0,0358882130017388;0,0363990189657787;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"11";"PUPA";0,0243629933048983;0,0241568248155267;0,0245663632302489;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"12";"SASO";0,0477804772943376;0,0474629317245992;0,0480950288758499;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"13";"SCLA";0,0250968204891176;0,024890660764812;0,0253156656970706;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"14";"SOAS";0,0188235411724892;0,0186616746798779;0,0189797026446915;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"15";"Aelia_spp";0,0304733856372106;0,0302380261421326;0,0306845508797155;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"16";"Aphis_fabae";0,0336370074477668;0,0334008417451307;0,0338803522762318;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"17";"Bruchidae";0,0201132888888038;0,0199306176485922;0,0203045289713741;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"18";"Cantharis_coronata";0,0236432358251756;0,0234425434519011;0,0238588861585748;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"19";"Cercopoidea";0,0255639729460641;0,0253588761832841;0,0257810046097462;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"20";"Cochlicella_barbara";0,0600443577101754;0,0597271892928903;0,060381595365295;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"21";"Lasiocampa_trifolii_caterpillar";0,0342520223282813;0,0340123763600895;0,0345053686016282;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"22";"Lepidoptera_caterpillar";0,0329910453525314;0,0327399672425984;0,0332516107822225;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"23";"Malachius_bipustulatus";0,0368402091187212;0,0365750673488001;0,0370993576894279;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"24";"Meligethes_spp";0,0321082662899784;0,0318805035302914;0,0323385516416525;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"25";"Oedemeridae";0,0278725612427316;0,0276613009332676;0,0281002342841606;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"26";"Otala_lactea";0,0238192665947411;0,0236512057489874;0,0239864626875302;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"27";"Psilothrix_viridicoerulea";0,0302891254197988;0,0300652247467919;0,0305104030900615;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"28";"Tessellana_tessellata";0,038746752996433;0,038494920198297;0,0390193073654328;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
"29";"Theba_pisana";0,0569833904426648;0,0566047124039248;0,0573401121327555;"2019";3;"plants-herbivores";"nesting_larvae_phenology"
