"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0183788957788786;0,0179886054033916;0,0187656662604525;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"2";"CETE";0,112799375234909;0,111823070348995;0,113829593733888;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"3";"CHFU";0,00742912304474763;0,00722807521063975;0,00767103574837096;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"4";"CHMI";0,0231253191318027;0,0227121241468661;0,0235188155852054;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"5";"HOMA";0,0385837379864667;0,0377504021228503;0,0394309476186322;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"6";"LEMA";0,0250466325286238;0,0245779925121226;0,0255617255370681;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"7";"MESP";0,0215268853906277;0,0211738509922184;0,0218983815168763;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"8";"PAIN";0,0158530290684019;0,0155192142318175;0,0162028675172133;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"9";"PLCO";0,0264130769182069;0,0259267897620115;0,0269050737231014;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"10";"POMA";0,0221580087909421;0,0217793402292317;0,0225423858082424;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"11";"PUPA";0,0961099457922418;0,0951391313228018;0,0970979033442614;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"12";"SASO";0,027193976774081;0,0267538263524469;0,0276526896279659;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"13";"SCLA";0,0187648029251038;0,0183661457180446;0,0192132474640988;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"14";"SOAS";0,015863945534657;0,0155253574777719;0,0162316376937529;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"15";"Anastoechus_spp";0,0535010206103709;0,0527248001332488;0,0543528755157141;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"16";"Andrena_spp";0,107263525113319;0,106254472786966;0,108258041990282;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"17";"Bombylius_major";0,0157332660419592;0,0154348576219191;0,0160458744358048;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"18";"Braconidae";0,0220126959313195;0,0215895256845259;0,022422806647179;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"19";"Dilophus_spp";0,0187310486603492;0,0183091303952134;0,0191541410716103;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"20";"Eristalis_spp";0,0183505441057961;0,0179572093247436;0,0187395801668271;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"21";"Eucera_spp";0,0152616116247968;0,0149186095873193;0,0156056316148816;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"22";"Lasioglossum_immunitum";0,0321579878702211;0,0317140832732649;0,0326069424805766;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"23";"Lasioglossum_malachurum";0,0639706725903992;0,0631918685281963;0,064759842077508;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"24";"Musca_spp";0,0526851733724883;0,0519839530917435;0,053379867432932;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"25";"Osmia_ligurica";0,0330977504203038;0,0325169607009992;0,0337500531886938;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"26";"Pangonius_spp";0,0133946958047012;0,0130700418307707;0,0137244848201994;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"27";"Sarcophaga_spp";0,0462832831144228;0,0456195967956524;0,0469884678143871;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"28";"Sphaerophoria_scripta";0,0224481246359031;0,021982147176971;0,0229220821126244;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
"29";"Ulidiidae";0,0158618452039591;0,0154217481147674;0,0163813512584312;"2020";2;"plants-floral visitors";"nesting_larvae_phenology"
