"";"species";"prob_excl_mean";"prob_excl_lowerCI";"prob_excl_upperCI";"year";"plot";"guild";"intraguild.type"
"1";"BEMA";0,0081663882136287;0,00725605436755451;0,00913200231826925;"2020";5;"all";"nesting_larvae_phenology"
"2";"CETE";0,00681389203572177;0,00598394811300034;0,00785174128670069;"2020";5;"all";"nesting_larvae_phenology"
"3";"CHFU";0,0179234476990909;0,0164535812361114;0,0194683583340137;"2020";5;"all";"nesting_larvae_phenology"
"4";"HOMA";0,0148448035077152;0,013428976250684;0,0163844687298829;"2020";5;"all";"nesting_larvae_phenology"
"5";"LEMA";0,00363672748338017;0,00323513456278753;0,00408249227611108;"2020";5;"all";"nesting_larvae_phenology"
"6";"MESP";0,00832796030460433;0,00711638031130667;0,0097644102103989;"2020";5;"all";"nesting_larvae_phenology"
"7";"PAIN";0,00809704135443624;0,0070637897210311;0,00919030474939837;"2020";5;"all";"nesting_larvae_phenology"
"8";"POMA";0,0087369716169202;0,00736730642395209;0,0105664170140236;"2020";5;"all";"nesting_larvae_phenology"
"9";"PUPA";0,00669039557859588;0,0061185610679841;0,00727078698214613;"2020";5;"all";"nesting_larvae_phenology"
"10";"RAPE";0,0126220226675841;0,0105392328486139;0,0151498901051055;"2020";5;"all";"nesting_larvae_phenology"
"11";"SASO";0,00808949712425736;0,00684761841069054;0,00955092877470656;"2020";5;"all";"nesting_larvae_phenology"
"12";"SOAS";0,00927530024241447;0,00794489285207075;0,0109567483400761;"2020";5;"all";"nesting_larvae_phenology"
"13";"Aelia_spp";0,0468627813858937;0,0422237482285742;0,0524314701605683;"2020";5;"all";"nesting_larvae_phenology"
"14";"Agriotes_spp";0,0298832771168572;0,027117178617556;0,0329401990116989;"2020";5;"all";"nesting_larvae_phenology"
"15";"Aiolopus_strepens";0,0228211007911533;0,0196477725191798;0,0273780598266055;"2020";5;"all";"nesting_larvae_phenology"
"16";"Brassicogethes_spp";0,018919513793634;0,0175555172258779;0,0204692160412088;"2020";5;"all";"nesting_larvae_phenology"
"17";"Cleta_ramosaria_caterpillar";0,0274970598324932;0,024816341658138;0,0304284096751401;"2020";5;"all";"nesting_larvae_phenology"
"18";"Cochlicella_barbara";0,214772430972544;0,207338578136897;0,223156715787593;"2020";5;"all";"nesting_larvae_phenology"
"19";"Cryptocephalus_spp";0,0121016080139868;0,0105940004042194;0,0139799187551536;"2020";5;"all";"nesting_larvae_phenology"
"20";"Geometridae_caterpillar";0,0190599361013504;0,0173259754234231;0,020872466904287;"2020";5;"all";"nesting_larvae_phenology"
"21";"Lasiocampa_trifolii_caterpillar";0,0775356290560803;0,0727829968131479;0,082813154563115;"2020";5;"all";"nesting_larvae_phenology"
"22";"Malachius_bipustulatus";0,0240554300110393;0,0194111341014906;0,0314523015267503;"2020";5;"all";"nesting_larvae_phenology"
"23";"Miridae";0,0178663770983852;0,0161276679193779;0,0198653160690116;"2020";5;"all";"nesting_larvae_phenology"
"24";"Psilothrix_viridicoerulea";0,0343465940013733;0,0316250815900163;0,0373154305221362;"2020";5;"all";"nesting_larvae_phenology"
"25";"Tessellana_tessellata";0,199203800828075;0,192574415076607;0,206358854543436;"2020";5;"all";"nesting_larvae_phenology"
"26";"Theba_pisana";0,0442845550997885;0,0410484694766555;0,0482024123087;"2020";5;"all";"nesting_larvae_phenology"
"27";"Thysanoptera";0,0214788097487735;0,0196277992071415;0,0234236505337736;"2020";5;"all";"nesting_larvae_phenology"
"28";"Cylindromyia_spp";0,0198849804390351;0,0184652479359456;0,0214142579911138;"2020";5;"all";"nesting_larvae_phenology"
"29";"Lasioglossum_malachurum";0,00410436567907953;0,0035150508411139;0,0048469119339946;"2020";5;"all";"nesting_larvae_phenology"
"30";"Lasioglossum_spp";0,0143002651282233;0,012821751575297;0,016146792681801;"2020";5;"all";"nesting_larvae_phenology"
"31";"Musca_spp";0,0195818118561095;0,0180454410542965;0,0211323735400953;"2020";5;"all";"nesting_larvae_phenology"
"32";"Ulidiidae";0,0182152252177755;0,0167119398270098;0,0200840552572141;"2020";5;"all";"nesting_larvae_phenology"
